filepath,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy,,,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy
images\shellfish_four.jpg,132.9786325,36.02311065,0.019565928,-0.118743943,0.00795858,7.106455899,,mean,123.2488932,62.64670602,0.059699598,0.661346394,0.023291403,7.270085107
images\shellfish_four.jpg,123.9741667,49.96287121,0.036970392,0.970958809,0.008948611,7.045609923,,std,39.75647034,16.50205465,0.028526061,3.43704143,0.052357762,0.685245844
images\shellfish_four.jpg,131.6569767,34.8486146,0.018333884,-0.042688113,0.008273053,7.070406649,,min,41.15073382,27.76874119,0.011719584,-4.658081552,0.004345557,4.865342813
images\shellfish_four.jpg,149.5775463,54.09294989,0.043061106,-0.39218045,0.006651744,7.393155599,,max,220.6436911,104.4482389,0.143669136,10.21866321,0.240968465,7.917558147
images\shellfish_four.jpg,140.9653939,38.76812655,0.022591516,0.107289227,0.007043883,7.288523907,,,,,,,,
images\shellfish_four.jpg,166.3065437,49.66462859,0.036546418,-0.963925353,0.006700471,7.40280084,,,,,,,,
images\shellfish_four.jpg,157.6558923,50.58280647,0.037858586,-0.647728098,0.006518912,7.428086343,,,,,,,,
images\shellfish_four.jpg,164.5142857,55.66230909,0.045480665,-1.045662356,0.008075397,7.195928716,,,,,,,,
images\shellfish_four.jpg,147.8459967,38.13639169,0.021877224,-0.254020094,0.007711043,7.168140178,,,,,,,,
images\shellfish_four.jpg,131.342243,36.79383334,0.020394862,0.122651232,0.007518713,7.219816251,,,,,,,,
images\seashell_five.jpg,164.4566473,59.42676718,0.051512819,-1.578835674,0.005063662,7.747885305,,,,,,,,
images\seashell_five.jpg,141.9393887,67.80092364,0.066027513,-1.67708488,0.004345557,7.917558147,,,,,,,,
images\seashell_five.jpg,160.1424127,51.86811392,0.039729591,-0.965283087,0.005713368,7.637611487,,,,,,,,
images\seashell_five.jpg,136.7633424,63.27149146,0.057994804,-1.313601158,0.00459257,7.874075008,,,,,,,,
images\seashell_five.jpg,166.2668812,50.50226057,0.03774266,-1.043037266,0.005714633,7.602884266,,,,,,,,
images\seashell_five.jpg,139.0086188,51.43730357,0.03909805,-1.846380531,0.006458739,7.505080808,,,,,,,,
images\seashell_five.jpg,182.5265951,43.84349615,0.028712936,-0.873406596,0.00688039,7.36137447,,,,,,,,
images\seashell_five.jpg,186.7027392,46.50193337,0.032185035,-0.529507062,0.007568069,7.304808759,,,,,,,,
images\seashell_five.jpg,133.9825464,74.60937498,0.078855871,-1.804861903,0.004518942,7.878564131,,,,,,,,
images\seashell_five.jpg,220.6436911,27.76874119,0.011719584,-0.550405913,0.014147879,6.448594024,,,,,,,,
images\seashell_five.jpg,109.1609245,54.19154126,0.043211429,1.013293637,0.005315174,7.702775684,,,,,,,,
images\seashell_five.jpg,195.6915049,45.51635237,0.030876886,-1.51336126,0.008495645,7.225987866,,,,,,,,
