AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy,,,,,,,,,,,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy
223.8015126,40.00360269,0.024019232,-1.992549977,0.038723775,6.127988662,,,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy,,GOOD,11,10,10,15,10,10
220.801431,41.25042656,0.025501041,-2.038120515,0.031329981,6.31170263,,Min,199.4109402,22.32016842,0.007603261,-3.088208534,0.009367171,5.440956036,,BAD,7,8,8,3,8,8
220.8700717,41.54703428,0.025859568,-2.058924878,0.033743048,6.281963887,,Max,236.3266017,51.95383734,0.039855785,-0.360589755,0.061823616,7.031396357,,SUM,4,2,2,12,2,2
221.835605,41.23345482,0.025480596,-2.162771774,0.031726385,6.258974224,,Mean,218.8905076,37.49551333,0.021708311,-1.380473687,0.024761676,6.385965899,,,,,,,,
221.0013724,41.66493389,0.02600272,-2.080531955,0.033055612,6.281765899,,Median,221.4859918,37.98737114,0.021710333,-1.195997565,0.020339693,6.351946569,,,,,,,,
236.3266017,22.48331059,0.007713954,-0.372707052,0.032739978,5.563464611,,Std,9.344863894,6.355382572,0.006984619,0.632094653,0.010598953,0.378664076,,,,,,,,
233.655692,23.96192527,0.008752761,-0.422056043,0.027058954,5.787368511,,,,,,,,,,,,,,,,
234.2843632,23.35980269,0.008322018,-0.377917592,0.029149287,5.721886667,,, ,,,,,,,,,,,,,
235.2218416,22.32016842,0.007603261,-0.360589755,0.030641722,5.622384604,,,starfish_noise7,,,,,,,,starfish_noise7,,,,,
233.2710337,24.74594992,0.009329474,-0.443130979,0.027581149,5.793047149,,,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy,,,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy
222.9620565,43.09201492,0.027764181,-2.205073177,0.036918239,6.096084965,,p1 misclassification,185.5683995,21.64045196,0.007150489,-0.068389693,0.015834697,6.237674116,,reference example,185.5683995,21.64045196,0.007150489,-0.068389693,0.015834697,6.237674116
218.0547222,45.84032539,0.031304188,-2.293229813,0.029431602,6.360594972,,,33.32210815,15.85506137,0.014557823,1.312083994,0.008926979,0.148291784,,region 1,,,,,0.001245429,0.505037758
219.7930818,44.95435554,0.030141951,-2.178078663,0.031450848,6.266990154,,,good,good,good,good,bad,bad,,region 2,,,,,,
220.9775253,44.17318705,0.029133758,-2.220975218,0.03216568,6.197163993,,, ,,,,,,,region 3,,,,,,
217.8199597,47.37879741,0.033369389,-2.538455977,0.031587565,6.31144423,,, ,,,,,,,region 4,13.84254072,,,0.431058397,,
233.7369378,33.77631755,0.017242124,-1.415784915,0.061823616,5.440956036,,,seashell_five,,,,,,,region 5,,16.04925811,0.014228144,,,
230.6446508,36.20727593,0.019762534,-1.585747187,0.049532874,5.694368305,,,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy,,region 6,,,,,,
