filepath,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy
images\starfish_noise1.jpg,222.1180375,34.46612291,0.017940815,-1.209177745,0.017330797,6.404004436
images\starfish_noise1.jpg,225.7948998,31.48078506,0.015012107,-1.051318024,0.01997897,6.226243734
images\starfish_noise1.jpg,225.137907,31.02600377,0.014587782,-0.918912742,0.018882197,6.268014247
images\starfish_noise1.jpg,227.2985859,30.26136436,0.01388747,-0.973902376,0.020819408,6.148912644
images\starfish_noise1.jpg,225.6719713,30.75881777,0.014341201,-0.961297166,0.019454827,6.227446834
images\starfish_noise10.jpg,211.5762052,36.42568415,0.019996893,-0.868611651,0.016751264,6.707777513
images\starfish_noise10.jpg,209.8269296,37.65803243,0.021343478,-0.912297907,0.015781228,6.773144287
images\starfish_noise10.jpg,209.4177778,37.42842877,0.021089478,-0.867772636,0.015049934,6.788047608
images\starfish_noise10.jpg,209.6273148,38.07155041,0.021804514,-0.976995711,0.015839212,6.779395282
images\starfish_noise10.jpg,209.7712843,37.98859428,0.021711657,-0.939785809,0.016332543,6.765007658
images\starfish.jpg,224.4076094,39.34591285,0.02325415,-1.951338753,0.036820098,6.119674556
images\starfish.jpg,222.6232073,40.70663314,0.024849723,-2.118873565,0.032826028,6.219550789
images\starfish.jpg,224.1423107,39.27361889,0.023170752,-1.926636889,0.037343788,6.132086715
images\starfish.jpg,222.7831101,40.14442376,0.024184538,-1.975534099,0.034664448,6.205580479
images\starfish.jpg,223.7254382,40.27322764,0.024336197,-2.028120662,0.039041422,6.12742261
images\starfish_map0.jpg,238.6797065,19.55017556,0.005843536,-0.311101921,0.036137065,5.366895744
images\starfish_map0.jpg,237.4726654,20.1446415,0.006202072,-0.309577353,0.034663954,5.430651611
images\starfish_map0.jpg,237.7245937,20.49942855,0.006421042,-0.314815517,0.03416231,5.466436176
images\starfish_map0.jpg,236.9291334,20.90629276,0.006676737,-0.342909469,0.031074167,5.549528608
images\starfish_map0.jpg,237.7119735,21.00795299,0.00674139,-0.336386033,0.03488465,5.453751247
images\starfish_map1.jpg,225.7681464,41.01505034,0.02521817,-2.197750256,0.037155752,5.995270085
images\starfish_map1.jpg,226.839132,38.96499007,0.022816288,-1.923184737,0.035903642,5.955013807
images\starfish_map1.jpg,226.5678584,39.51406669,0.023448668,-1.901339822,0.037032731,5.988869359
images\starfish_map1.jpg,226.8392459,38.59106125,0.022390233,-1.873076218,0.03823359,5.984648927
images\starfish_map1.jpg,227.4312263,39.17502587,0.023057241,-1.965230721,0.041216658,5.898049657
images\starfish_overlaid.jpg,50.03065843,76.31082401,0.082194469,10.21964146,0.203407746,5.147244854
images\starfish_overlaid.jpg,46.17442501,66.4484398,0.063585398,6.581011269,0.205213343,5.206040916
images\starfish_overlaid.jpg,40.93327851,63.69373316,0.058725833,6.635629725,0.227212008,4.978928391
images\starfish_overlaid.jpg,45.47627149,73.07802717,0.07589523,9.72633857,0.243327181,4.843240556
images\starfish_overlaid.jpg,80.09173604,96.67969707,0.125678594,12.0185868,0.040471609,6.482528352
images\starfish_17.jpg,149.2956666,83.88669563,0.097651743,-4.584418833,0.006078357,7.717408873
images\starfish_17.jpg,162.7810814,69.03054096,0.068279135,-4.034128311,0.005651389,7.700827453
images\starfish_17.jpg,102.9783545,64.82934661,0.060710314,-1.156817247,0.006912264,7.522366297
images\starfish_17.jpg,92.10977648,65.1281819,0.061236948,0.510981859,0.006873225,7.614675324
images\starfish_17.jpg,98.41934975,56.37649692,0.046600516,-0.651605342,0.005965022,7.547474211
images\starfish_5.jpg,108.0747126,63.5359963,0.058452306,-1.86678288,0.011366479,7.314883512
images\starfish_5.jpg,119.7768433,68.17775824,0.066714408,-1.997357497,0.009589469,7.508532349
images\starfish_5.jpg,145.4380044,67.12767214,0.064807299,-2.797996936,0.006175209,7.682084902
images\starfish_5.jpg,128.36,71.47832585,0.072848263,-3.150561842,0.007240444,7.530430349
images\starfish_5.jpg,135.5091711,69.34769772,0.06886468,-2.207035406,0.006414652,7.708714058
images\seashell_five.jpg,164.614965,58.6779637,0.0502877,-1.470061316,0.005080136,7.739951536
images\seashell_five.jpg,161.7578888,51.51877817,0.039217147,-0.930823826,0.005748845,7.626234479
images\seashell_five.jpg,143.9179884,67.59966729,0.065661811,-1.859403978,0.004396147,7.908471886
images\seashell_five.jpg,138.2613487,61.64858768,0.055220023,-1.386124271,0.004744227,7.846823847
images\seashell_five.jpg,138.6139017,51.74123608,0.039543136,-1.855516642,0.006415877,7.512864323
images\shellfish_four.jpg,170.2920261,48.70694227,0.035199687,-1.119488863,0.007024245,7.359804519
images\shellfish_four.jpg,135.9877425,40.94747388,0.025137226,0.449883485,0.007088314,7.301593245
images\shellfish_four.jpg,138.561991,38.49162613,0.022277566,0.169429293,0.007152537,7.277318045
images\shellfish_four.jpg,162.7479592,50.64697379,0.037951051,-1.009044262,0.006705077,7.41473546
