filepath,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy,,,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy,,,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy
images\starfish_5.jpg,117.38096,73.69902821,0.077090732,1.411915605,0.006090034,7.782945941,,Mean,218.8905076,37.49551333,0.021708311,-1.380473687,0.024761676,6.385965899,,good,47,39,39,46,44,45
images\starfish_5.jpg,177.2963441,14.35675234,0.003159786,-0.006295352,0.021056112,5.866557921,,Median,221.4859918,37.98737114,0.021710333,-1.195997565,0.020339693,6.351946569,,bad,-14,-22,-22,-15,-17,-16
images\starfish_5.jpg,133.6013072,9.795517095,0.001473445,0.001808047,0.034046734,5.080255821,,Std,9.344863894,6.355382572,0.006984619,0.632094653,0.010598953,0.378664076,,sum,33,17,17,31,27,29
images\starfish_5.jpg,161.9768,31.69603683,0.015214967,-0.333141871,0.010598937,6.862319822,,,good,good,good,good,good,good,,%,77.04918033,63.93442623,63.93442623,75.40983607,72.13114754,73.7704918
images\starfish_5.jpg,160.227156,64.61458618,0.060332978,-2.361691823,0.006516038,7.668289485,,,good,good,good,good,bad,good,,,,,,,,
images\starfish_5.jpg,142.7545691,62.73004678,0.057062869,-2.997584908,0.006767108,7.5777806,,,good,good,good,good,bad,good,,"Occurences of ""good"" in pairs",,,,,,
images\starfish_noise7.jpg,207.7631789,39.65484582,0.023612097,-1.148071761,0.012416744,6.899793126,,,good,bad,bad,good,good,good,,AvgGrayLvl,X,32,32,40,41,44
images\starfish_noise7.jpg,220.68,28.45413151,0.012298049,-0.432538692,0.019950617,6.274984861,,,good,good,good,good,good,good,,AvgContrst,0.727272727,X,39,33,28,31
images\starfish_noise7.jpg,194.0792181,40.08387426,0.024113396,-0.494630351,0.009959949,7.000403118,,,good,good,good,good,good,good,,Smoothness,0.727272727,0.886363636,X,33,28,31
images\starfish_noise7.jpg,182.2183116,52.62224801,0.040845751,-2.362330466,0.006824447,7.464579063,,,good,bad,bad,bad,good,good,,ThrdMoment,0.909090909,0.75,0.75,X,36,39
images\starfish_noise7.jpg,209.555914,40.42834618,0.024519421,-1.218844782,0.014090689,6.828041669,,,bad,good,good,good,bad,bad,,Uniformity,0.931818182,0.636363636,0.636363636,0.818181818,X,42
images\starfish.jpg,212.1245421,43.80836444,0.028668258,-1.999309062,0.019561649,6.724792006,,,good,bad,bad,good,good,good,,Entropy,1,0.704545455,0.704545455,0.886363636,0.954545455,X
images\starfish.jpg,219.8247863,41.45991867,0.025754027,-1.805479772,0.040661845,6.195449978,,,good,good,good,good,good,good,,,AvgGrayLvl,AvgContrst,Smoothness,ThrdMoment,Uniformity,Entropy
images\starfish.jpg,219.9959024,40.27430818,0.024337471,-1.683229929,0.039601,6.269790191,,,bad,bad,bad,bad,good,good,,,,,,,,
images\starfish.jpg,179.356339,61.31673324,0.054659532,-3.901403085,0.006892281,7.514919291,,,bad,bad,bad,bad,bad,bad,,,,,,,,
images\starfish.jpg,214.8326497,37.08390488,0.020711017,-0.993892176,0.019557905,6.619431416,,,bad,bad,bad,bad,good,bad,,,84.04918033,84.04918033,83.04918033,80.04918033,78.04918033,
images\starfish_map1.jpg,220.0183399,37.40282281,0.021061239,-0.921376406,0.027631143,6.359162207,,,bad,bad,bad,bad,good,bad,,,,63.93442623,76.93442623,79.93442623,77.93442623,
images\starfish_map1.jpg,238.5833333,16.63654222,0.004238392,-0.118113009,0.044502743,5.309731076,,,good,good,good,good,good,good,,,,,76.93442623,79.93442623,77.93442623,
images\starfish_map1.jpg,219.5330813,24.59474964,0.009216861,-0.112467227,0.014521341,6.329946107,,,bad,bad,bad,bad,bad,bad,,,,,,83.40983607,81.40983607,
